sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
Home,Table19,A4:D20,1,A,STT,CALCULATED,number/Excel serial,16,16,0,1 | 2 | 3,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
Home,Table19,A4:D20,2,B,Nội dung,INPUT/MASTER,text,0,16,0,"Thời khóa biểu, lịch làm việc CS4 | Báo cáo tình trạng học phí CS4 | Theo dõi sinh nhật học viên theo tháng",0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
Home,Table19,A4:D20,3,C,Tên sheet,INPUT/MASTER,text,0,16,0,Schedule | Report_HP!A1 | SinhNhatHV!A1,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
Home,Table19,A4:D20,4,D,Ghi chú,INPUT/MASTER,text,0,1,0,Sheet này đã được hide.,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,1,E,Ngay thang,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,2,F,TenThu,CALCULATED,text,4851,4851,0,T7,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,3,G,Ten NV,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,4,H,Đến S,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,5,I,Về S,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,6,J,Đến C,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,7,K,Về C,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,8,L,Column4,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,9,M,ThoiGian,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,10,N,MaLop,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,11,O,TenLop,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,12,P,Giáo viên,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,13,Q,Trợ giảng,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,14,R,Trợ giảng 2,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,15,S,Buoi so,CALCULATED,text,4851,4851,0,N,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,16,T,TTHoc,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,17,U,Column42,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,18,V,Them (h),INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,19,W,Đi muộn TG,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,20,X,Cộng giờ TG,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,21,Y,DG TG,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,22,Z,Column6,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,23,AA,GhiChu,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,24,AB,Column5,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
