sheet,table,field,signature,example,count,rule_id,status
Home,Table19,STT,"IF(Table19[[#This Row],[Nội dung]]={n},{n},SUBTOTAL({n},B{row}:Table19[[#This Row],[Nội dung]]))","IF(Table19[[#This Row],[Nội dung]]=0,0,SUBTOTAL(3,$B$5:Table19[[#This Row],[Nội dung]]))",16,FR-0001,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,TenThu,"TEXT(WEEKDAY(T_ChiTietLop[[#This Row],[Ngay thang]],{n}),""ddd"")","TEXT(WEEKDAY(T_ChiTietLop[[#This Row],[Ngay thang]],1),""ddd"")",4851,FR-0002,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Buoi so,"IFERROR(IF(T_ChiTietLop[[#This Row],[TTHoc]]=""C"",COUNTIFS(O{row}:O{row},T_ChiTietLop[[#This Row],[TenLop]],ChiTietLopHoc!T{row}:T{row},""C"")+VLOOKUP(O{row},T_DSLop[[Ten lop]:[Buoi so]],{n},{n}),""N""),"""")","IFERROR(IF(T_ChiTietLop[[#This Row],[TTHoc]]=""C"",COUNTIFS($O$6:O6,T_ChiTietLop[[#This Row],[TenLop]],ChiTietLopHoc!$T$6:T6,""C"")+VLOOKUP($O6,T_DSLop[[Ten lop]:[Buoi so]],6,0),""N""),"""")",4851,FR-0003,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Nhac viec 1,"IFERROR(VLOOKUP(DAY(T_ChiTietLop[[#This Row],[Ngay thang]]),T_DSLop[[Ngay CĐ]:[Cong viec]],{n},{n}),"""")","IFERROR(VLOOKUP(DAY(T_ChiTietLop[[#This Row],[Ngay thang]]),T_DSLop[[Ngay CĐ]:[Cong viec]],3,0),"""")",4838,FR-0004,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Nhac viec 2,"IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[TenThu]],T_DSLop[[Thu]:[Cong viec]],{n},{n}),"""")","IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[TenThu]],T_DSLop[[Thu]:[Cong viec]],2,0),"""")",4838,FR-0005,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Phat sinh,"IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[Ngay thang]],T_DSLop[[Ngay phat sinh]:[Cong viec PS]],{n},{n}),"""")","IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[Ngay thang]],T_DSLop[[Ngay phat sinh]:[Cong viec PS]],2,0),"""")",4838,FR-0006,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Ket qua,"IF(AND(T_ChiTietLop[[#This Row],[Nhac viec {n}]]="""",T_ChiTietLop[[#This Row],[Nhac viec {n}]]="""",T_ChiTietLop[[#This Row],[Phat sinh]]=""""),"""",IF(T_ChiTietLop[[#This Row],[Ngay HT]]=T_ChiTietLop[[#This Row],[Ngay thang]],""Hoàn Thành"",IF(T_ChiTietLop[[#This Row],[Ngay HT]]>T_ChiTietLop[[#This Row],[Ngay thang]],""HT Muộn"",IF(T_ChiTietLop[[#This Row],[Ngay HT]]="""",""Chưa hoàn thành"",""HT trước hạn""))))","IF(AND(T_ChiTietLop[[#This Row],[Nhac viec 1]]="""",T_ChiTietLop[[#This Row],[Nhac viec 2]]="""",T_ChiTietLop[[#This Row],[Phat sinh]]=""""),"""",IF(T_ChiTietLop[[#This Row],[Ngay HT]]=T_ChiTietLop[[#This Row],[Ngay thang]],""Hoàn Thành"",IF(T_ChiTietLop[[#This Row],[Ngay HT]]>T_ChiTietLop[[#This Row],[Ngay thang]],""HT Muộn"",IF(T_ChiTietLop[[#This Row],[Ngay HT]]="""",""Chưa hoàn thành"",""HT trước hạn""))))",4838,FR-0007,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,So_Gio,"IF(TRIM(T_ChiTietLop[[#This Row],[ThoiGian]])="""",{n},((RIGHT(T_ChiTietLop[[#This Row],[ThoiGian]],{n})-LEFT(T_ChiTietLop[[#This Row],[ThoiGian]],{n}))*{n})+IF(T_ChiTietLop[[#This Row],[Them (h)]]="""",{n},T_ChiTietLop[[#This Row],[Them (h)]])-IF(T_ChiTietLop[[#This Row],[Column42]]="""",{n},T_ChiTietLop[[#This Row],[Column42]]))","IF(TRIM(T_ChiTietLop[[#This Row],[ThoiGian]])="""",0,((RIGHT(T_ChiTietLop[[#This Row],[ThoiGian]],5)-LEFT(T_ChiTietLop[[#This Row],[ThoiGian]],5))*24)+IF(T_ChiTietLop[[#This Row],[Them (h)]]="""",0,T_ChiTietLop[[#This Row],[Them (h)]])-IF(T_ChiTietLop[[#This Row],[Column42]]="""",0,T_ChiTietLop[[#This Row],[Column42]]))",4851,FR-0008,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,So_gio_GV,"IFERROR(IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"","""",IF(T_ChiTietLop[[#This Row],[Ca_Gio]]=""Giờ"",T_ChiTietLop[[#This Row],[So_Gio]],{n})),{n})","IFERROR(IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"","""",IF(T_ChiTietLop[[#This Row],[Ca_Gio]]=""Giờ"",T_ChiTietLop[[#This Row],[So_Gio]],1)),0)",4851,FR-0009,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Luongh_GV,"IFERROR(INDEX(T_NS[[Tên ngắn]:[Column3]],MATCH(T_ChiTietLop[[#This Row],[Giáo viên]],T_NS[Tên ngắn],{n}),{n}),{n})","IFERROR(INDEX(T_NS[[Tên ngắn]:[Column3]],MATCH(T_ChiTietLop[[#This Row],[Giáo viên]],T_NS[Tên ngắn],0),4),0)",4851,FR-0010,Cần chuyển thành Business Rule và UAT
