sourceRow,applyOverride,Ngay thang,MaLop,TenLop,Giáo viên,TenThu,Buoi so,So_gio_GV,TenLop2,am/pm,Column1,notes
6,,,,,,T7,N,1,(+),(,11900,
7,,,,,,T7,N,1,(+),(,11900,
8,,,,,,T7,N,1,(+),(,11900,
9,,,,,,T7,N,1,(+),(,11900,
10,,,,,,T7,N,1,(+),(,11900,
11,,,,,,T7,N,1,(+),(,11900,
12,,,,,,T7,N,1,(+),(,11900,
13,,,,,,T7,N,1,(+),(,11900,
14,,,,,,T7,N,1,(+),(,11900,
15,,,,,,T7,N,1,(+),(,11900,
16,,,,,,T7,N,1,(+),(,11900,
17,,,,,,T7,N,1,(+),(,11900,
18,,,,,,T7,N,1,(+),(,11900,
19,,,,,,T7,N,1,(+),(,11900,
20,,,,,,T7,N,1,(+),(,11900,
21,,,,,,T7,N,1,(+),(,11900,
22,,,,,,T7,N,1,(+),(,11900,
23,,,,,,T7,N,1,(+),(,11900,
24,,,,,,T7,N,1,(+),(,11900,
25,,,,,,T7,N,1,(+),(,11900,
26,,,,,,T7,N,1,(+),(,11900,
27,,,,,,T7,N,1,(+),(,11900,
28,,,,,,T7,N,1,(+),(,11900,
29,,,,,,T7,N,1,(+),(,11900,
30,,,,,,T7,N,1,(+),(,11900,
31,,,,,,T7,N,1,(+),(,11900,
32,,,,,,T7,N,1,(+),(,11900,
33,,,,,,T7,N,1,(+),(,11900,
34,,,,,,T7,N,1,(+),(,11900,
35,,,,,,T7,N,1,(+),(,11900,
36,,,,,,T7,N,1,(+),(,11900,
37,,,,,,T7,N,1,(+),(,11900,
38,,,,,,T7,N,1,(+),(,11900,
39,,,,,,T7,N,1,(+),(,11900,
40,,,,,,T7,N,1,(+),(,11900,
41,,,,,,T7,N,1,(+),(,11900,
42,,,,,,T7,N,1,(+),(,11900,
43,,,,,,T7,N,1,(+),(,11900,
44,,,,,,T7,N,1,(+),(,11900,
45,,,,,,T7,N,1,(+),(,11900,
46,,,,,,T7,N,1,(+),(,11900,
47,,,,,,T7,N,1,(+),(,11900,
48,,,,,,T7,N,1,(+),(,11900,
49,,,,,,T7,N,1,(+),(,11900,
50,,,,,,T7,N,1,(+),(,11900,
51,,,,,,T7,N,1,(+),(,11900,
52,,,,,,T7,N,1,(+),(,11900,
53,,,,,,T7,N,1,(+),(,11900,
54,,,,,,T7,N,1,(+),(,11900,
55,,,,,,T7,N,1,(+),(,11900,
56,,,,,,T7,N,1,(+),(,11900,
57,,,,,,T7,N,1,(+),(,11900,
58,,,,,,T7,N,1,(+),(,11900,
59,,,,,,T7,N,1,(+),(,11900,
60,,,,,,T7,N,1,(+),(,11900,
61,,,,,,T7,N,1,(+),(,11900,
62,,,,,,T7,N,1,(+),(,11900,
63,,,,,,T7,N,1,(+),(,11900,
64,,,,,,T7,N,1,(+),(,11900,
65,,,,,,T7,N,1,(+),(,11900,
66,,,,,,T7,N,1,(+),(,11900,
67,,,,,,T7,N,1,(+),(,11900,
68,,,,,,T7,N,1,(+),(,11900,
69,,,,,,T7,N,1,(+),(,11900,
70,,,,,,T7,N,1,(+),(,11900,
71,,,,,,T7,N,1,(+),(,11900,
72,,,,,,T7,N,1,(+),(,11900,
73,,,,,,T7,N,1,(+),(,11900,
74,,,,,,T7,N,1,(+),(,11900,
75,,,,,,T7,N,1,(+),(,11900,
76,,,,,,T7,N,1,(+),(,11900,
77,,,,,,T7,N,1,(+),(,11900,
78,,,,,,T7,N,1,(+),(,11900,
79,,,,,,T7,N,1,(+),(,11900,
80,,,,,,T7,N,1,(+),(,11900,
81,,,,,,T7,N,1,(+),(,11900,
82,,,,,,T7,N,1,(+),(,11900,
83,,,,,,T7,N,1,(+),(,11900,
84,,,,,,T7,N,1,(+),(,11900,
85,,,,,,T7,N,1,(+),(,11900,
86,,,,,,T7,N,1,(+),(,11900,
87,,,,,,T7,N,1,(+),(,11900,
88,,,,,,T7,N,1,(+),(,11900,
89,,,,,,T7,N,1,(+),(,11900,
90,,,,,,T7,N,1,(+),(,11900,
91,,,,,,T7,N,1,(+),(,11900,
92,,,,,,T7,N,1,(+),(,11900,
93,,,,,,T7,N,1,(+),(,11900,
94,,,,,,T7,N,1,(+),(,11900,
95,,,,,,T7,N,1,(+),(,11900,
96,,,,,,T7,N,1,(+),(,11900,
97,,,,,,T7,N,1,(+),(,11900,
98,,,,,,T7,N,1,(+),(,11900,
99,,,,,,T7,N,1,(+),(,11900,
100,,,,,,T7,N,1,(+),(,11900,
101,,,,,,T7,N,1,(+),(,11900,
102,,,,,,T7,N,1,(+),(,11900,
103,,,,,,T7,N,1,(+),(,11900,
104,,,,,,T7,N,1,(+),(,11900,
105,,,,,,T7,N,1,(+),(,11900,
106,,,,,,T7,N,1,(+),(,11900,
107,,,,,,T7,N,1,(+),(,11900,
108,,,,,,T7,N,1,(+),(,11900,
109,,,,,,T7,N,1,(+),(,11900,
110,,,,,,T7,N,1,(+),(,11900,
111,,,,,,T7,N,1,(+),(,11900,
112,,,,,,T7,N,1,(+),(,11900,
113,,,,,,T7,N,1,(+),(,11900,
114,,,,,,T7,N,1,(+),(,11900,
115,,,,,,T7,N,1,(+),(,11900,
116,,,,,,T7,N,1,(+),(,11900,
117,,,,,,T7,N,1,(+),(,11900,
118,,,,,,T7,N,1,(+),(,11900,
119,,,,,,T7,N,1,(+),(,11900,
120,,,,,,T7,N,1,(+),(,11900,
121,,,,,,T7,N,1,(+),(,11900,
122,,,,,,T7,N,1,(+),(,11900,
123,,,,,,T7,N,1,(+),(,11900,
124,,,,,,T7,N,1,(+),(,11900,
125,,,,,,T7,N,1,(+),(,11900,
126,,,,,,T7,N,1,(+),(,11900,
127,,,,,,T7,N,1,(+),(,11900,
128,,,,,,T7,N,1,(+),(,11900,
129,,,,,,T7,N,1,(+),(,11900,
130,,,,,,T7,N,1,(+),(,11900,
131,,,,,,T7,N,1,(+),(,11900,
132,,,,,,T7,N,1,(+),(,11900,
133,,,,,,T7,N,1,(+),(,11900,
134,,,,,,T7,N,1,(+),(,11900,
135,,,,,,T7,N,1,(+),(,11900,
136,,,,,,T7,N,1,(+),(,11900,
137,,,,,,T7,N,1,(+),(,11900,
138,,,,,,T7,N,1,(+),(,11900,
139,,,,,,T7,N,1,(+),(,11900,
140,,,,,,T7,N,1,(+),(,11900,
141,,,,,,T7,N,1,(+),(,11900,
142,,,,,,T7,N,1,(+),(,11900,
143,,,,,,T7,N,1,(+),(,11900,
144,,,,,,T7,N,1,(+),(,11900,
145,,,,,,T7,N,1,(+),(,11900,
146,,,,,,T7,N,1,(+),(,11900,
147,,,,,,T7,N,1,(+),(,11900,
148,,,,,,T7,N,1,(+),(,11900,
149,,,,,,T7,N,1,(+),(,11900,
150,,,,,,T7,N,1,(+),(,11900,
151,,,,,,T7,N,1,(+),(,11900,
152,,,,,,T7,N,1,(+),(,11900,
153,,,,,,T7,N,1,(+),(,11900,
154,,,,,,T7,N,1,(+),(,11900,
155,,,,,,T7,N,1,(+),(,11900,
156,,,,,,T7,N,1,(+),(,11900,
157,,,,,,T7,N,1,(+),(,11900,
158,,,,,,T7,N,1,(+),(,11900,
159,,,,,,T7,N,1,(+),(,11900,
160,,,,,,T7,N,1,(+),(,11900,
161,,,,,,T7,N,1,(+),(,11900,
162,,,,,,T7,N,1,(+),(,11900,
163,,,,,,T7,N,1,(+),(,11900,
164,,,,,,T7,N,1,(+),(,11900,
165,,,,,,T7,N,1,(+),(,11900,
166,,,,,,T7,N,1,(+),(,11900,
167,,,,,,T7,N,1,(+),(,11900,
168,,,,,,T7,N,1,(+),(,11900,
169,,,,,,T7,N,1,(+),(,11900,
170,,,,,,T7,N,1,(+),(,11900,
171,,,,,,T7,N,1,(+),(,11900,
172,,,,,,T7,N,1,(+),(,11900,
173,,,,,,T7,N,1,(+),(,11900,
174,,,,,,T7,N,1,(+),(,11900,
175,,,,,,T7,N,1,(+),(,11900,
176,,,,,,T7,N,1,(+),(,11900,
177,,,,,,T7,N,1,(+),(,11900,
178,,,,,,T7,N,1,(+),(,11900,
179,,,,,,T7,N,1,(+),(,11900,
180,,,,,,T7,N,1,(+),(,11900,
181,,,,,,T7,N,1,(+),(,11900,
182,,,,,,T7,N,1,(+),(,11900,
183,,,,,,T7,N,1,(+),(,11900,
184,,,,,,T7,N,1,(+),(,11900,
185,,,,,,T7,N,1,(+),(,11900,
186,,,,,,T7,N,1,(+),(,11900,
187,,,,,,T7,N,1,(+),(,11900,
188,,,,,,T7,N,1,(+),(,11900,
189,,,,,,T7,N,1,(+),(,11900,
190,,,,,,T7,N,1,(+),(,11900,
191,,,,,,T7,N,1,(+),(,11900,
192,,,,,,T7,N,1,(+),(,11900,
193,,,,,,T7,N,1,(+),(,11900,
194,,,,,,T7,N,1,(+),(,11900,
195,,,,,,T7,N,1,(+),(,11900,
196,,,,,,T7,N,1,(+),(,11900,
197,,,,,,T7,N,1,(+),(,11900,
198,,,,,,T7,N,1,(+),(,11900,
199,,,,,,T7,N,1,(+),(,11900,
200,,,,,,T7,N,1,(+),(,11900,
201,,,,,,T7,N,1,(+),(,11900,
202,,,,,,T7,N,1,(+),(,11900,
203,,,,,,T7,N,1,(+),(,11900,
204,,,,,,T7,N,1,(+),(,11900,
205,,,,,,T7,N,1,(+),(,11900,
206,,,,,,T7,N,1,(+),(,11900,
207,,,,,,T7,N,1,(+),(,11900,
208,,,,,,T7,N,1,(+),(,11900,
209,,,,,,T7,N,1,(+),(,11900,
210,,,,,,T7,N,1,(+),(,11900,
211,,,,,,T7,N,1,(+),(,11900,
212,,,,,,T7,N,1,(+),(,11900,
213,,,,,,T7,N,1,(+),(,11900,
214,,,,,,T7,N,1,(+),(,11900,
215,,,,,,T7,N,1,(+),(,11900,
216,,,,,,T7,N,1,(+),(,11900,
217,,,,,,T7,N,1,(+),(,11900,
